Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup
ncsub,NC--Children's Subject Kits,ItemCollection,Media,Kit,,
nctoy,NC-Children's Toys,ItemCollection,Media,,,
scbk,Online Resource--Children's,ItemCollection,Internet,,,
scorder,Kids On Order,ItemCollection,Print,Book,,
ucunknj,Uncataloged Juv Mat,ItemType,Print,Book,,
wcbk,WTBBL--Children's Collection,ItemCollection,Print,Book,,
ncesl,NC-Children's ESL,ItemCollection,Print,Book,,ESL
ncseas,NC--Children's Seasonal,ItemCollection,Print,Book,,Holiday
ccpic,CC-Children's Picture Books,ItemCollection,Print,Book,,Picture
ncbb,NC-Children's Board Books,ItemCollection,Print,Book,,Picture
ncpic,NC--Children's Picture Books,ItemCollection,Print,Book,,Picture
ccaward,CC-Children's Newbery/Caldecott,ItemCollection,Print,Book,Fiction,
cccomic,CC-Children's Comics,ItemCollection,Print,Book,Fiction,
ccef,CC-Children's Easy Fiction,ItemCollection,Print,Book,Fiction,
ccfic,CC-Children's Fiction,ItemCollection,Print,Book,Fiction,
ccser,CC-Children's Series,ItemCollection,Print,Book,Fiction,
ccvid,"CC-Children's Video, Fiction",ItemCollection,Media,Video Tape,Fiction,
ncaavid,Afam - Juv. Video,ItemCollection,Media,Video Tape,Fiction,
ncaward,NC-Children's-Newbery/Caldecott,ItemCollection,Print,Book,Fiction,
nccomic,NC-Children's Comics,ItemCollection,Print,Book,Fiction,
ncdvd,NC-Children's DVDs,ItemCollection,Media,Video Disc,Fiction,
ncef,NC-Easy Fiction,ItemCollection,Print,Book,Fiction,
ncfic,NC-Children's Fiction,ItemCollection,Print,Book,Fiction,
ncnew,NC-Children's New Materials,ItemCollection,Print,Book,Fiction,
ncpb,NC-Children's Paperbacks,ItemCollection,Print,Book,Fiction,
ncrdr,NC--Children's Readers,ItemCollection,Print,Book,Fiction,
ncser,NC-Children's Series,ItemCollection,Print,Book,Fiction,
ncvid,NC-Children's Videos,ItemCollection,Media,Video Tape,Fiction,
cchol,CC-Children's Holiday,ItemCollection,Print,Book,Fiction,Holiday
nchol,NC-Children's Holiday,ItemCollection,Print,Book,Fiction,Holiday
ncholsk,NC-Children's Holiday-STK,ItemCollection,Print,Book,Fiction,Holiday
cclpfic,CC-Children's Large Print,ItemCollection,Print,Book,Fiction,Large Print
nclp,NC-Children's Large Print,ItemCollection,Print,Book,Fiction,Large Print
ccrdr,CC-Children's Readers,ItemCollection,Print,Book,Fiction,Picture
ccln,CC-Children's Languages,ItemCollection,Print,Book,Language,
ncln,NC-Children's Languages,ItemCollection,Print,Book,Language,
ccfft,CC-Folk And Fairy Tales,ItemCollection,Print,Book,Nonfiction,
ccnew,CC-Children's New Materials,ItemCollection,Print,Book,Nonfiction,
ccnf,CC-Children's Nonfiction,ItemCollection,Print,Book,Nonfiction,
ccvidnf,"CC-Children's Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,
ncaa,Afam - Children's Circulating,ItemCollection,Print,Book,Nonfiction,
ncdvdnf,"NC-Children's DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,
ncenf,NC-Easy Nonfiction,ItemCollection,Print,Book,Nonfiction,
ncfft,NC-Folk And Fairy Tales,ItemCollection,Print,Book,Nonfiction,
ncnf,NC-Children's Nonfiction,ItemCollection,Print,Book,Nonfiction,
ncvidnf,"NC-Children's Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,
ccb,CC-Children's Biographies,ItemCollection,Print,Book,Nonfiction,Biography
ncb,NC-Children's Biographies,ItemCollection,Print,Book,Nonfiction,Biography
ccdesk,"CC-RefDesk, CHI",ItemCollection,Print,Book,Reference,
jrbk,Book: Ref Juv,ItemType,Print,Book,Reference,
jrcas,Audio Tape: Ref Juv,ItemType,Media,Audio Tape,Reference,
jrcd,CD: Ref Juv,ItemType,Media,Audio Disc,Reference,
jrdisk,Diskette: Ref Juv,ItemType,Media,Data Disc,Reference,
jrdvd,DVD: Ref Juv,ItemType,Media,Video Disc,Reference,
jrkit,Kit: Ref Juv,ItemType,Media,Kit,Reference,
jrmus,Song Book: Ref Juv,ItemType,Print,Book,Reference,
jrper,Magazine: Ref Juv,ItemType,Print,Periodical,Reference,
jrrec,Record: Ref Juv,ItemType,Media,Audio Disc,Reference,
jrvhs,Video (VHS): Ref Juv,ItemType,Media,Video Tape,Reference,
jrweb,Web Site: Ref Juv,ItemType,Internet,,Reference,
ncaafam,Afam - Child.Lit.Res/Ref,ItemCollection,Print,Book,Reference,
ncref,NC--Children's Reference,ItemCollection,Print,Book,Reference,
ccref,CC-Children's Reference,ItemCollection,Print,Book,Reference,Picture
cybocd,CY3-Teen Compact Disc,ItemCollection,Media,Audiobook Disc,,
cybot,CY3-Teen Books on Tape,ItemCollection,Media,Audiobook Tape,,
cyper,CY3-Teen Periodicals,ItemCollection,Print,Periodical,,
nybocd,NY-Teen - Books on CD,ItemCollection,Media,Audiobook Disc,,
nybot,NY-Teen - Books on Tape,ItemCollection,Media,Audiobook Tape,,
sybk,Online Resource--Teen,ItemCollection,Internet,,,
syorder,Teen On Order,ItemCollection,Print,,,
wylp,WTBBL-Large Print - YA,ItemCollection,Print,Book,,Large Print
cycomic,CY3-Teen Comics & Graphic Novels,ItemCollection,Print,Book,Fiction,
cyfic,CY3-Teen Fiction,ItemCollection,Print,Book,Fiction,
cynew,CY3-Teen New Books,ItemCollection,Print,Book,Fiction,
cyser,CY3-Teen Series,ItemCollection,Print,Book,Fiction,
nycomic,NY-Teen - Comics & Graphic Novels,ItemCollection,Print,Book,Fiction,
nyfic,NY-Teen - Fiction,ItemCollection,Print,Book,Fiction,
nynew,NY-Teen - New Books,ItemCollection,Print,Book,Fiction,
nypb,NY-Teen Paperbacks,ItemCollection,Print,Book,Fiction,
nyser,NY-Teen Series,ItemCollection,Print,Book,Fiction,
cylp,CY3-Teen Large Print,ItemCollection,Print,Book,Fiction,Large Print
nylp,NY-Teen Large Print,ItemCollection,Print,Book,Fiction,Large Print
cynf,CY-Teen Nonfiction,ItemCollection,Print,Book,Nonfiction,
nynf,NY-Teen - Nonfiction,ItemCollection,Print,Book,Nonfiction,
cyb,CY9-Teen Biography,ItemCollection,Print,Book,Nonfiction,Biography
nyb,NY-Teen - Biography,ItemCollection,Print,Book,Nonfiction,Biography
cyref,CY3-Teen Reference,ItemCollection,Print,Book,Reference,
nyref,NY-Teen - Reference,ItemCollection,Print,Book,Reference,
bal,"Ballard, 5614 22ND AV NW",ItemLocation,,,,
bea,"Beacon Hill, 2821 BEACON AV S",ItemLocation,,,,
bro,"Broadview, 12755 GREENWOOD AV N",ItemLocation,,,,
cap,"Capital Hill, 425 HARVARD AV E",ItemLocation,,,,
cen,"Central Library, 1000 4TH AV",ItemLocation,,,,
col,"Columbia, 4721 RAINIER AV S",ItemLocation,,,,
dlr,"Delridge, 5423 DELRIDGE WAY SW",ItemLocation,,,,
dth,"Douglas-Truth, 2300 E YESLER WAY",ItemLocation,,,,
fre,"Fremont, 731 N 35TH ST",ItemLocation,,,,
glk,"Green Lake, 7364 E GREEN LAKE DR N",ItemLocation,,,,
gwd,"Greenwood, 8016 GREENWOOD AVE N",ItemLocation,,,,
hip,"High Point, 3411 SW RAYMOND ST",ItemLocation,,,,
idc,"International District/Chinatown, 713 8TH AV S",ItemLocation,,,,
lcy,"Lake City, 12501 28TH AV NE",ItemLocation,,,,
mag,"Magnolia, 2801 34TH AV W",ItemLocation,,,,
mgm,"Madrona-Sally Goldmark Branch, 1134 33RD AV",ItemLocation,,,,
mon,"Montlake, 2401 24TH AV E",ItemLocation,,,,
net,"Northeast, 6801 35TH AV NE",ItemLocation,,,,
nga,"Northgate, 10548 FIFTH AV NE",ItemLocation,,,,
nhy,"NewHolly Branch, 7058 32ND AV S",ItemLocation,,,,
rbe,"Rainier Beach, 9125 RAINIER AV S",ItemLocation,,,,
spa,"South Park, 8604 8TH AV S",ItemLocation,,,,
spa,"South Park, 8604 8TH AV S",ItemLocation,,,,
swt,"Southwest, 9010 35TH AV SW",ItemLocation,,,,
uni,"University, 5009 ROOSEVELT WY NE",ItemLocation,,,,
wal,"Wallingford, 1501 N 45TH ST",ItemLocation,,,,
wts,"West Seattle, 2306 42ND AV SW",ItemLocation,,,,
